Message,Spam,gtrans_el
Check me out I am kyle. I rap so yeah,social_promotion,Δείτε με ότι είμαι ο Kyle. Κάνω ραπ έτσι ναι
"Subscribe to me for free Android games, apps..",social_promotion,"Εγγραφείτε σε εμένα για δωρεάν παιχνίδια Android, εφαρμογές.."
everyone please come check our newest song in memories of Martin Luther King Jr.,social_promotion,Όλοι παρακαλώ ελάτε να δείτε το νεότερο τραγούδι μας στις αναμνήσεις του Μάρτιν Λούθερ Κινγκ Τζούνιορ.
sub my channel for no reason,social_promotion,υποβάλετε το κανάλι μου χωρίς λόγο
"Check out my dubstep song Fireball , made with Fruity Loops. I really took time in it. watch v telOA6RIO8o",social_promotion,"Δείτε το dubstep τραγούδι μου Fireball , φτιαγμένο με Fruity Loops. Πραγματικά πήρα χρόνο σε αυτό. ρολόι v telOA6RIO8o"
Check my channel please And listen to the best music ever P,social_promotion,Ελέγξτε το κανάλι μου και ακούστε την καλύτερη μουσική ποτέ P
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL SUBSCRIBE BACK THANKS,social_promotion,SUB 4 SUB ΠΑΡΑΚΑΛΩ ΚΑΝΤΕ LIKE ΣΕ ΑΥΤΟ ΤΟ ΣΧΟΛΙΟ ΘΕΛΩ ΕΝΑ ΕΠΙΤΥΧΗΜΕΝΟ YOUTUBE ΓΙ' αυτό ΠΑΡΑΚΑΛΩ ΚΑΝΤΕ LIKE ΣΕ ΑΥΤΟ ΤΟ ΣΧΟΛΙΟ ΚΑΙ ΕΓΓΡΑΦΕΙΤΕ ΘΑ ΔΙΑΡΚΟΥΝΤΑΙ ΜΟΝΟ 10 ΔΕΥΤΕΡΟΛΕΠΤΑ ΠΑΡΑΚΑΛΩ ΑΝ ΓΙΝΕΤΕ ΕΓΓΡΑΦΗ ΕΓΓΡΑΦΕΙΤΕ ΑΝΘΡΩΠΗ ΕΓΓΡΑΦΗ
"Hey everyone I have just started my first YT channel i would be grateful if some of you peoples could check out my first clip in BF4 and give me some advice on how my video was and how i could improve it. ALSO be sure to go check out the about to see what I Am all about. Thanks for your time . and to haters... You Hate, I WIN",social_promotion,"Γεια σε όλους, μόλις ξεκίνησα το πρώτο μου κανάλι YT, θα ήμουν ευγνώμων αν μερικοί από εσάς μπορούσατε να δείτε το πρώτο μου κλιπ στο BF4 και να μου δώσετε μερικές συμβουλές για το πώς ήταν το βίντεό μου και πώς θα μπορούσα να το βελτιώσω. ΕΠΙΣΗΣ, φροντίστε να επισκεφτείτε το σχετικά για να δείτε τι είμαι εγώ. Ευχαριστώ για τον χρόνο σου . και στους haters... You Hate, I NIN"
"The projects After Effects, Music, Foto, Web sites and another you can find and buy here Link",social_promotion,"Τα έργα After Effects, Music, Foto, Websites και άλλα που μπορείτε να βρείτε και να αγοράσετε εδώ Σύνδεσμος"
YouTube codytolleson for awesome videos I will subscribe back,social_promotion,YouTube codytolleson για φοβερά βίντεο Θα εγγραφώ ξανά
if you like roblox minecraft world of warcraft gta5 mario suscribe to my channel,social_promotion,αν σας αρέσει το roblox minecraft world of warcraft gta 5 mario εγγραφείτε στο κανάλι μου
SUBSCRIBE TO ME AND I WILL SUBSCRIBE TO YOU Must like cZFcxsn0jnQ,social_promotion,ΕΓΓΡΑΦΕΙΤΕ ΣΕ ΜΕΝΑ ΚΑΙ ΘΑ ΓΙΝΩ ΕΓΓΡΑΦΗ ΣΕ ΕΣΑΣ Πρέπει να μου αρέσει cZFcxsn0jnQ
Link come follow and watch my stream,social_promotion,Έλα ακολουθήστε τον σύνδεσμο και παρακολουθήστε τη ροή μου
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound Dizzy X Got the Juice Prod by. Drugs the Model Citizen COMMENT TELL ME WHAT YOU THINK DO NOT BE LAZY 1 7 Prophetz",social_promotion,"αν σας αρέσει το ακατέργαστο ταλέντο, οι ακατέργαστοι στίχοι, το στρέιτ αληθινό χιπ χοπ Όλοι ελέγξτε τον νεότερο ήχο μου Dizzy X Got the Juice Prod by. Drugs the Model Citizen ΣΧΟΛΙΟ ΠΕΙΤΕ ΜΟΥ ΤΙ ΝΟΜΙΖΕΤΕ ΜΗΝ ΤΕΜΠΕΛΕΙΣ 1 7 Prophetz"
....subscribe...... ......to my........ .....channel.......,social_promotion,....εγγραφείτε...... ......στο......... .....κανάλι μου.......
Plz subscribe to my channel and I will subscribe back xx,social_promotion,Παρακαλώ εγγραφείτε στο κανάλι μου και θα εγγραφώ ξανά xx
get GWAR to play 2015 superbowl Link,advertisement,πάρτε το GWAR για να παίξετε το 2015 Superbowl Link
Pls follow this channel Link,social_promotion,Παρακαλούμε ακολουθήστε αυτόν τον σύνδεσμο καναλιού
hi guys check my youtube channel,social_promotion,γεια σας παιδιά δείτε το κανάλι μου στο youtube
Subscribe and like to me for more how to videos on minecraft,social_promotion,Εγγραφείτε και κάντε μου like για περισσότερα βίντεο σχετικά με το minecraft
Link great game check it out,social_promotion,Σύνδεσμος υπέροχο παιχνίδι δείτε το
Subscribe ME,social_promotion,Εγγραφείτε ΕΓΩ
plz check out fablife welcome to fablife for diys and challenges so plz subscribe thanks,social_promotion,"Ρίξτε μια ματιά στο fablife, καλώς ήλθατε στο fablife για μαστορέματα και προκλήσεις, γι' αυτό εγγραφείτε, ευχαριστώ"
Sub my channel,social_promotion,Subscribe στο κανάλι μου
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with his drone that are absolutely beautiful.",social_promotion,"αν σας αρέσουν τα drones, παρακαλώ εγγραφείτε στο Kamal Tayara. Τραβάει βίντεο με το drone του που είναι απολύτως όμορφα."
"WHAT IS UP EVERYONE I Trying To Showcase My Talent To The World I Have Over 3000 SUBSCRIBERS I PROMISE I Do Not Suck Please Spread My Covers Around, SUBSCRIBE amp Share Thanks so much for all your support Lucas Trigo Stay Awesome",social_promotion,"ΤΙ ΣΥΜΒΑΙΝΕΙ ΟΛΟΙ ΠΟΥ Προσπαθώ να δείξω το ταλέντο μου στον κόσμο που έχω Πάνω από 3000 ΣΥΝΔΡΟΜΕΙΣ ΥΠΟΣΧΟΜΑΣΤΕ ότι δεν ρουφάω Παρακαλώ Διαδώστε τα εξώφυλλά μου, ΕΓΓΡΑΦΗ amp Share Ευχαριστώ πολύ για όλη την υποστήριξή σας Lucas Trigo Stay Awesome"
gt gt gt gt Link lt,social_promotion,gt gt gt gt Σύνδεσμος lt
"Hi there I am group leader of Angel, a rookie Korean pop group. We have four members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to check out our channel and leave some feedback on our cover videos criticism is welcome as we know we are not top notch singers so please come leave some constructive feedback on our videos we appreciate any chance to improve before auditioning for a Korean management company. We plan on auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time out of your day to read this",social_promotion,"Γεια σας, είμαι αρχηγός του γκρουπ του Angel, ενός πρωτάρη κορεάτικου ποπ συγκροτήματος. Έχουμε τέσσερα μέλη, την Chanicka, την Julie, τη Stephanie και εμένα, τη Leah. Μη διστάσετε να ελέγξετε το κανάλι μας και να αφήσετε μερικά σχόλια για τα εξώφυλλά μας. Η κριτική είναι ευπρόσδεκτη καθώς γνωρίζουμε ότι δεν είμαστε κορυφαίοι τραγουδιστές, γι' αυτό ελάτε να αφήσετε μερικά εποικοδομητικά σχόλια για τα βίντεό μας, εκτιμούμε κάθε ευκαιρία να βελτιωθούμε πριν από την οντισιόν για μια κορεάτικη διαχείριση Εταιρία. Σχεδιάζουμε να κάνουμε οντισιόν για JYP, BigHit, Jellyfish, YG ή SM. Σας ευχαριστούμε που αφιερώσατε χρόνο από τη μέρα σας για να το διαβάσετε"
Link FREE CS GO,phising,Σύνδεσμος ΔΩΡΕΑΝ CS GO
Check my first video out,social_promotion,Δείτε το πρώτο μου βίντεο
Check my channel,social_promotion,Ελέγξτε το κανάλι μου
Suscribe My Channel Please XD lol,social_promotion,Εγγραφείτε στο κανάλι μου XD lol
Link please halp me with my project,social_promotion,"Σύνδεσμος, βοηθήστε με με το έργο μου"
There is one video on my channel about my brother...,social_promotion,Υπάρχει ένα βίντεο στο κανάλι μου για τον αδερφό μου...
"Check my channel, please",social_promotion,"Ελέγξτε το κανάλι μου, παρακαλώ"
Plizz withing my channel,social_promotion,Plizz με το κανάλι μου
I made a gaming channel Unique right L Angry Minecraft,social_promotion,Έφτιαξα ένα κανάλι gaming Unique right L Angry Minecraft
Please help me go here Link,social_promotion,Παρακαλώ βοηθήστε με να πάω εδώ Σύνδεσμος
Anybody who subscribes to me will get 10 subscribers,social_promotion,Όποιος εγγραφεί σε εμένα θα έχει 10 συνδρομητές
"My videos are half way decent, check them out if you want.",social_promotion,"Τα βίντεό μου είναι κατά το ήμισυ αξιοπρεπή, δείτε τα αν θέλετε."
subscribe to itz recaps and above diddle,social_promotion,εγγραφείτε στο itz recaps και πάνω diddle
Sub to my channel visuelgamingzNL I sub back,social_promotion,Εγγραφείτε στο κανάλι μου visuelgamingzNL Επιστρέφω
please subscribe i am a new youtuber and need help please subscribe and i will subscribe back D hoppa HOPPA GaNgAm StYlE,social_promotion,"εγγραφείτε, είμαι νέος youtuber και χρειάζομαι βοήθεια, παρακαλώ εγγραφείτε και θα εγγραφώ πίσω D hoppa HOPPA GaNgAm StYlE"
sub me if you do not like the song,social_promotion,υπογράψτε μου αν δεν σας αρέσει το τραγούδι
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL I AM A NEW YOUTUBER AND I PLAY MINECRAFT THANKS GUYS ... SUBSCRIBE,social_promotion,EHI ΠΑΙΔΙΑ ΜΠΟΡΕΙΤΕ ΝΑ ΚΑΝΕΤΕ ΕΓΓΡΑΦΗ ΣΤΟ ΚΑΝΑΛΙ ΜΟΥ ΕΙΜΑΙ ΝΕΟΣ YOUTUBER ΚΑΙ ΠΑΙΖΩ MINECRAFT ΕΥΧΑΡΙΣΤΩ ΠΑΙΔΙΑ ... ΕΓΓΡΑΦΗ
Hi everyone Do you like music Then why not check out my music channel. The LEXIS band will be uploading their own songs and covers soon so do not miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one click. gt,social_promotion,"Γεια σε όλους Σας αρέσει η μουσική Τότε γιατί να μην δείτε το μουσικό μου κανάλι. Το συγκρότημα LEXIS θα ανεβάσει σύντομα τα δικά του τραγούδια και διασκευές, οπότε μην το χάσετε. ΕΓΓΡΑΦΕΙΤΕ και εσείς γιατί μας βοηθάει πολύ. Αρκεί ένα κλικ. gt"
gofundme.com grwmps,social_promotion,gofundme.com grwmps
"Hey guys please check out my new Google page it has many funny pictures, FunnyTortsPics Link",social_promotion,"Γεια σας παιδιά, ρίξτε μια ματιά στη νέα μου σελίδα στο Google, έχει πολλές αστείες εικόνες, FunnyTortsPics Link"
Suscribe my channel please,social_promotion,Εγγραφείτε στο κανάλι μου παρακαλώ
guys please subscribe me to help my channel grow please guys,social_promotion,"παιδιά, εγγραφείτε με για να βοηθήσω το κανάλι μου να αναπτυχθεί, παρακαλώ παιδιά"
Discover a beautiful song of A young Moroccan Link,social_promotion,Ανακαλύψτε ένα όμορφο τραγούδι του A young Moroccan Link
"Dance dance,,,,,Psy Link",social_promotion,"Χορευτικό,,,,,Psy Link"
check out starlitnightsky channel to see epic videos,social_promotion,ρίξτε μια ματιά στο κανάλι starlitnightsky για να δείτε επικά βίντεο
Link plz,social_promotion,Σύνδεσμος plz
check men out i put allot of effort into my music but unfortunatly not many watch it,social_promotion,"check men έξω Καταβάλλω μεγάλη προσπάθεια στη μουσική μου, αλλά δυστυχώς δεν την παρακολουθούν πολλοί"
pls Link help me get vip gun cross fire al,social_promotion,pls Link βοηθήστε με να λάβω διασταυρούμενα πυρά vip
Add me here...Link,social_promotion,Προσθέστε με εδώ...Σύνδεσμος
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS,social_promotion,ΔΕΙΤΕ ΤΟ ΚΑΝΑΛΙ ΜΟΥ ΠΑΡΑΚΑΛΩ. ΚΑΝΩ ΤΡΑΓΟΥΔΙΑ ΣΠΟΥΔΕΣ
Check out pivot animations in my channel,social_promotion,Δείτε τα κινούμενα σχέδια στο κανάλι μου
Follow me on twitter amp IG killuminati94,social_promotion,Ακολουθήστε με στο twitter amp IG killuminati94
Check me out I am all about gaming,social_promotion,Ρίξτε μια ματιά στο ότι ασχολούμαι με τα παιχνίδια
More... Link,social_promotion,Περισσότερα... Σύνδεσμος
reminds me of this song Link,social_promotion,μου θυμίζει αυτό το τραγούδι Link
Search Chubbz Dinero Ready Or Not Thanks,social_promotion,Αναζήτηση Chubbz Dinero Ready or Not Thanks
Follow me on Twitter mscalifornia95,social_promotion,Ακολουθήστε με στο Twitter mscalifornia95
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC' YOU WILL LOVE IT,social_promotion,ΔΕΙΤΕ ΤΟ ΚΑΝΑΛΙ ΜΟΥ ΓΙΑ ΤΟ ΝΕΟ ΜΟΥ ΤΡΑΓΟΥΔΙ 'STATIC' ΘΑ ΤΟ ΛΑΤΡΕΥΕΙ
look at my channel i make minecraft pe let us play,social_promotion,κοιτάξτε το κανάλι μου φτιάχνω το minecraft ας παίξουμε
please like Link,social_promotion,παρακαλώ like Link
hey again if you guys would not mind chacking out my rap give it like and il giver 3 of your vids a like,social_promotion,"γεια και πάλι, αν δεν θα σας πείραζε να δείτε το ραπ μου κάντε του like και θα δώσω ένα like σε 3 από τα βίντεό σας"
Subscribe to me and I will subscribe back,social_promotion,Εγγραφείτε σε εμένα και θα εγγραφώ ξανά
For Christmas Song visit my channel,social_promotion,Για Χριστουγεννιάτικο Τραγούδι επισκεφτείτε το κανάλι μου
Subscribe to me i subscribe back Plus i have a nice ass lol,social_promotion,Εγγραφείτε σε εμένα i subscribe πίσω Plus έχω ένα ωραίο κώλο lol
Please give us a chance and check out the new music video on our channel You will not be disappointed.,social_promotion,Δώστε μας μια ευκαιρία και δείτε το νέο μουσικό βίντεο στο κανάλι μας Δεν θα απογοητευτείτε.
Please subscribe to me,social_promotion,Παρακαλώ εγγραφείτε σε εμένα
Please check out my vidios,social_promotion,Παρακαλώ δείτε τα βίντεό μου
Link CLICK Link Link Link Link Link Link,social_promotion,Σύνδεσμος ΚΛΙΚ Σύνδεσμος Σύνδεσμος Σύνδεσμος Σύνδεσμος Σύνδεσμος
Have you tried a new social network TSU This new social network has a special thing.You can share the posts as well as on fb and twitter and even to'll get paid You can registr here Link,social_promotion,Έχετε δοκιμάσει ένα νέο κοινωνικό δίκτυο TSU Αυτό το νέο κοινωνικό δίκτυο έχει ένα ιδιαίτερο πράγμα. Μπορείτε να μοιραστείτε τις αναρτήσεις καθώς και στο fb και στο twitter και ακόμη και να πληρωθείτε Μπορείτε να εγγραφείτε εδώ Σύνδεσμος
Subscribe to me plz plz plz plz plz plZ,social_promotion,Εγγραφείτε σε εμένα plz plz plz plz plz plZ
Link Follow him on twitch and enter the keyword 5800 and you will have a chance of winning a really nice and expensive gun for csgo that you can sell on the steam market,social_promotion,Σύνδεσμος Ακολουθήστε τον στο twitch και πληκτρολογήστε τη λέξη-κλειδί 5800 και θα έχετε την ευκαιρία να κερδίσετε ένα πολύ ωραίο και ακριβό όπλο για το csgo που μπορείτε να πουλήσετε στην αγορά ατμού
Please friend read my book and repass Link,social_promotion,Παρακαλώ φίλος διαβάστε το βιβλίο μου και ξαναπεράστε τον σύνδεσμο
subscribe to me,social_promotion,εγγραφείτε σε εμένα
"Hello I am kind of new to Youtube, And soon i am soon going to be making Launchpad Video's D I would really appreciate if i got some subs before i started so that people can spot me easily I do not really care about hate comments so do not bother",social_promotion,"Γεια, είμαι κάπως νέος στο Youtube, και σύντομα θα κάνω το Launchpad Video's D, θα το εκτιμούσα πολύ αν είχα μερικούς συνδρομητές πριν ξεκινήσω, ώστε οι άνθρωποι να μπορούν να με εντοπίζουν εύκολα. Δεν με ενδιαφέρουν πραγματικά τα σχόλια μίσους, οπότε μην το κάνετε ενόχληση"
"I Am a RAPPER SONGWRITER, check my video PLEASE..also subscribe for more thanks tell me what you think.",social_promotion,"Είμαι τραγουδοποιός ΡΑΠΕΡ, ελέγξτε το βίντεό μου ΠΑΡΑΚΑΛΩ.. επίσης εγγραφείτε για περισσότερα, ευχαριστώ πείτε μου τη γνώμη σας."
Can anyone sub to my channel D,social_promotion,Μπορεί κάποιος να κάνει εγγραφή στο κανάλι μου D
Follow me on Instagram. chris cz,social_promotion,Ακολούθα με στο ινσταγκραμ. chris cz
"It is so hard, sad iThat little child Actor HWANG MINOO dancing very active child is suffering from brain tumor, only 6 month left for him .Hard to believe .. Keep praying everyone for our future superstar. StrongLittlePsY Fighting SHARE EVERYONE PRAYING FOR HIM Link",social_promotion,"Είναι τόσο σκληρό, λυπηρό αυτό το μικρό παιδί Ο ηθοποιός HWANG MINOO που χορεύει πολύ δραστήριο παιδί πάσχει από όγκο στον εγκέφαλο, του απομένουν μόνο 6 μήνες. Δύσκολο να το πιστέψεις.. Συνεχίστε να προσεύχεστε όλοι για τον μελλοντικό σούπερ σταρ μας. StrongLittlePsY Fighting ΜΟΙΡΑΣΤΕΙΤΕ ΟΛΟΙ ΠΟΥ ΠΡΟΣΕΥΧΟΝΤΑΙ ΓΙΑ ΑΥΤΟΝ Σύνδεσμος"
Hey guys Check this out Kollektivet Do not be slappin' my penis I think that they deserve much more credit than they receive.,social_promotion,"Γεια σας παιδιά Ρίξτε μια ματιά στο Kollektivet Μην χτυπάτε το πέος μου, πιστεύω ότι αξίζουν πολύ περισσότερη πίστωση από ό,τι λαμβάνουν."
"Hey everyone, I am a new channel and will post videos of book reviews and music on the flute. Please subscribe if you would enjoy that. Thanks",social_promotion,"Γεια σε όλους, είμαι νέο κανάλι και θα δημοσιεύω βίντεο με κριτικές βιβλίων και μουσική στο φλάουτο. Παρακαλώ εγγραφείτε εάν θα το απολαύσετε. Ευχαριστώ"
subscribe my chanel,social_promotion,εγγραφείτε στο κανάλι μου
Come and watch my video it is called the odowd crowd zombie movie part 1,social_promotion,Ελάτε να παρακολουθήσετε το βίντεό μου που ονομάζεται odowd crowd zombie movie part 1
"Hey, join me on ts , a publishing platform where I share my content now Link",social_promotion,"Γεια σας, ελάτε μαζί μου στο ts , μια πλατφόρμα εκδόσεων όπου μοιράζομαι το περιεχόμενό μου τώρα Σύνδεσμος"
"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe from the face of earth One Direction and Miley Cirus.",social_promotion,"Αν έχω 100 συνδρομητές, θα καλέσω το φάντασμα του Φρέντυ Μέρκιουρι να σβήσει από προσώπου γης τους One Direction και τη Miley Cyrus."
if i reach 100 subscribers i will go round in public pouring a bucket of ice water over people and then running away acting like it was not me like so people can see,social_promotion,"αν φτάσω τους 100 συνδρομητές, θα κυκλοφορώ δημόσια ρίχνοντας έναν κουβά παγωμένο νερό πάνω από ανθρώπους και μετά θα τρέχω φεύγοντας σαν να μην ήμουν εγώ, έτσι ώστε οι άνθρωποι να μπορούν να δουν"
Hi guys my name is Dylan and I do IRL football videos I have 1030 subscribers and I think you guys would like my content so come check it out and if you do subscribe,social_promotion,"Γεια σας παιδιά με λένε Dylan και κάνω βίντεο ποδοσφαίρου IRL Έχω 1030 συνδρομητές και νομίζω ότι θα θέλατε το περιεχόμενό μου, οπότε ελάτε να το δείτε και αν κάνετε εγγραφή"
If I get 300 subscribers by tomorrow I will do a epic Hunger Games Video,social_promotion,"Αν έχω 300 συνδρομητές μέχρι αύριο, θα κάνω ένα επικό βίντεο Hunger Games"
follower please Link,social_promotion,ακόλουθος παρακαλώ Σύνδεσμος
If i reach 100 subscribers i will tazz my self and my friend,social_promotion,Αν φτάσω τους 100 συνδρομητές θα ζαλίσω τον εαυτό μου και τον φίλο μου
Please help me go to college guys Thanks from the bottom of my heart. Link,social_promotion,Παρακαλώ βοηθήστε με να πάω στο κολέγιο παιδιά Ευχαριστώ από τα βάθη της καρδιάς μου. Σύνδεσμος
I am so awesome and smart Sucscribe to me,social_promotion,Είμαι τόσο φοβερός και έξυπνος Subscribe to me
Follow 4 Follow VaahidMustafic Like 4 Like,social_promotion,Ακολουθήστε 4 Ακολουθήστε VaahidMustafic Μου αρέσει 4 Μου αρέσει
Link psy news off cal,social_promotion,Σύνδεση ειδήσεων psy off καλ
Link add mee lt 3 lt 3,social_promotion,Link add mee lt 3 lt 3
i am sorry for the spam but My name is Jenny. I go to high school where everyone dresses fashionable but for me I do not because i need money to buy cute clothes. I have low self esteem . I live with my dad. my mom passed away when i was 6 so i do not really have a mother figure. I have 2 brothers who is older than me. Since they are boys they get the attention while i just be alone. I really want to wear pretty clothes like the girls in my school and get a boyfriend. i just cannot be my self. i am very quite and shy at school because i do not have the confidence in myself to talk to someone. i did have one friend name Caroline but she moved away so now i am alone. if you could donate some money to me it would be great. i do not care about expensive brand ill just shop at walmart because they have pretty clothes. also i want to get my nails done at a salon . i see alot of girls have these french tips. i never had my nail did at a salon before i will really appreciate if i can and get my hair curled too. Link thanks omg please.,social_promotion,"Λυπάμαι για το spam αλλά με λένε Τζένη. Πηγαίνω στο γυμνάσιο όπου όλοι ντύνονται μοντέρνα, αλλά για μένα δεν το κάνω γιατί χρειάζομαι χρήματα για να αγοράσω χαριτωμένα ρούχα. Έχω χαμηλή αυτοεκτίμηση. Μένω με τον μπαμπά μου. Η μαμά μου πέθανε όταν ήμουν 6 ετών, επομένως δεν έχω πραγματικά μητρική φιγούρα. Έχω 2 αδέρφια που είναι μεγαλύτερα από εμένα. Δεδομένου ότι είναι αγόρια, τραβούν την προσοχή ενώ είμαι μόνος. Θέλω πολύ να φοράω όμορφα ρούχα όπως τα κορίτσια του σχολείου μου και να αποκτήσω ένα αγόρι. απλά δεν μπορώ να είμαι ο εαυτός μου. Είμαι πολύ ήσυχος και ντροπαλός στο σχολείο γιατί δεν έχω την εμπιστοσύνη στον εαυτό μου να μιλήσω σε κάποιον. Είχα μια φίλη που ονομαζόταν Caroline, αλλά έφυγε, οπότε τώρα είμαι μόνη. αν μπορούσατε να δωρίσετε κάποια χρήματα σε μένα θα ήταν υπέροχο. Δεν με νοιάζει η ακριβή μάρκα, αλλά ψωνίζω στο Walmart επειδή έχουν όμορφα ρούχα. Επίσης θέλω να φτιάξω τα νύχια μου σε ένα κομμωτήριο. Βλέπω ότι πολλά κορίτσια έχουν αυτές τις γαλλικές συμβουλές. Ποτέ δεν έκανα τα νύχια μου σε κομμωτήριο πριν, θα εκτιμήσω πραγματικά αν μπορώ και να κάνω τα μαλλιά μου κατσαρά. Σύνδεσμος ευχαριστώ omg παρακαλώ."
please throw a sub on my channel,social_promotion,ρίξτε ένα sub στο κανάλι μου
Go to my channel if you want to see a fly getting burned alive,social_promotion,Πηγαίνετε στο κανάλι μου αν θέλετε να δείτε μια μύγα να καίγεται ζωντανή
"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY",social_promotion,"ΕΛΑΤΕ ΚΑΙ ΔΕΙΤΕ ΤΟ ΝΕΟ ΜΟΥ ΚΑΝΑΛΙ στο YOUTUBE, ΠΡΟΚΕΙΤΑΙ ΝΑ ΑΝΑΡΤΗΣΕΤΕ ΚΑΘΗΜΕΡΙΝΑ"
Please check out my vidios guys,social_promotion,Ρίξτε μια ματιά στα βίντεό μου παιδιά
