Message,Category,gtrans_el
everyone please come check our newest song in memories of Martin Luther King Jr.,1,Όλοι παρακαλώ ελάτε να δείτε το νεότερο τραγούδι μας στις αναμνήσεις του Μάρτιν Λούθερ Κινγκ Τζούνιορ.
"Came here to check the views, goodbye.",0,"Ήρθα εδώ για να ελέγξω τις απόψεις, αντίο."
sub my channel for no reason,1,υποβάλετε το κανάλι μου χωρίς λόγο
"Check out my dubstep song Fireball , made with Fruity Loops. I really took time in it. watch v telOA6RIO8o",1,"Δείτε το dubstep τραγούδι μου Fireball , φτιαγμένο με Fruity Loops. Πραγματικά πήρα χρόνο σε αυτό. ρολόι v telOA6RIO8o"
2 billion....Coming soon,0,2 δις....Σύντομα
Why dafuq is a Korean song so big in the USA. Does that mean we support Koreans Last time I checked they wanted to bomb us.,0,Γιατί το dafuq είναι ένα κορεάτικο τραγούδι τόσο μεγάλο στις ΗΠΑ. Αυτό σημαίνει ότι υποστηρίζουμε τους Κορεάτες Την τελευταία φορά που έλεγξα ότι ήθελαν να μας βομβαρδίσουν.
Check my channel please And listen to the best music ever P,1,Ελέγξτε το κανάλι μου και ακούστε την καλύτερη μουσική ποτέ P
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL SUBSCRIBE BACK THANKS,1,SUB 4 SUB ΠΑΡΑΚΑΛΩ ΚΑΝΤΕ LIKE ΣΕ ΑΥΤΟ ΤΟ ΣΧΟΛΙΟ ΘΕΛΩ ΕΝΑ ΕΠΙΤΥΧΗΜΕΝΟ YOUTUBE ΓΙ' αυτό ΠΑΡΑΚΑΛΩ ΚΑΝΤΕ LIKE ΣΕ ΑΥΤΟ ΤΟ ΣΧΟΛΙΟ ΚΑΙ ΕΓΓΡΑΦΕΙΤΕ ΘΑ ΔΙΑΡΚΟΥΝΤΑΙ ΜΟΝΟ 10 ΔΕΥΤΕΡΟΛΕΠΤΑ ΠΑΡΑΚΑΛΩ ΑΝ ΓΙΝΕΤΕ ΕΓΓΡΑΦΗ ΕΓΓΡΑΦΕΙΤΕ ΑΝΘΡΩΠΗ ΕΓΓΡΑΦΗ
"Hey everyone I have just started my first YT channel i would be grateful if some of you peoples could check out my first clip in BF4 and give me some advice on how my video was and how i could improve it. ALSO be sure to go check out the about to see what I Am all about. Thanks for your time . and to haters... You Hate, I WIN",1,"Γεια σε όλους, μόλις ξεκίνησα το πρώτο μου κανάλι YT, θα ήμουν ευγνώμων αν μερικοί από εσάς μπορούσατε να δείτε το πρώτο μου κλιπ στο BF4 και να μου δώσετε μερικές συμβουλές για το πώς ήταν το βίντεό μου και πώς θα μπορούσα να το βελτιώσω. ΕΠΙΣΗΣ, φροντίστε να επισκεφτείτε το σχετικά για να δείτε τι είμαι εγώ. Ευχαριστώ για τον χρόνο σου . και στους haters... You Hate, I NIN"
"The projects After Effects, Music, Foto, Web sites and another you can find and buy here Link",1,"Τα έργα After Effects, Music, Foto, Websites και άλλα που μπορείτε να βρείτε και να αγοράσετε εδώ Σύνδεσμος"
YouTube codytolleson for awesome videos I will subscribe back,1,YouTube codytolleson για φοβερά βίντεο Θα εγγραφώ ξανά
if you like roblox minecraft world of warcraft gta5 mario suscribe to my channel,1,αν σας αρέσει το roblox minecraft world of warcraft gta 5 mario εγγραφείτε στο κανάλι μου
SUBSCRIBE TO ME AND I WILL SUBSCRIBE TO YOU Must like cZFcxsn0jnQ,1,ΕΓΓΡΑΦΕΙΤΕ ΣΕ ΜΕΝΑ ΚΑΙ ΘΑ ΓΙΝΩ ΕΓΓΡΑΦΗ ΣΕ ΕΣΑΣ Πρέπει να μου αρέσει cZFcxsn0jnQ
Link come follow and watch my stream,1,Έλα ακολουθήστε τον σύνδεσμο και παρακολουθήστε τη ροή μου
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound Dizzy X Got the Juice Prod by. Drugs the Model Citizen COMMENT TELL ME WHAT YOU THINK DO NOT BE LAZY 1 7 Prophetz",1,"αν σας αρέσει το ακατέργαστο ταλέντο, οι ακατέργαστοι στίχοι, το στρέιτ αληθινό χιπ χοπ Όλοι ελέγξτε τον νεότερο ήχο μου Dizzy X Got the Juice Prod by. Drugs the Model Citizen ΣΧΟΛΙΟ ΠΕΙΤΕ ΜΟΥ ΤΙ ΝΟΜΙΖΕΤΕ ΜΗΝ ΤΕΜΠΕΛΕΙΣ 1 7 Prophetz"
....subscribe...... ......to my........ .....channel.......,1,....εγγραφείτε...... ......στο......... .....κανάλι μου.......
"now its 1,884,034,783 views pls. comment the view count the next hour P",0,τώρα έχει 1.884.034.783 προβολές pls. σχολιάστε το μέτρημα προβολών την επόμενη ώρα P
go here to check the views 3,0,μεταβείτε εδώ για να δείτε τις απόψεις 3
thumbs up if you checked this video to see hw views it got,0,μπράβο αν τσεκάρατε αυτό το βίντεο για να δείτε πόσες προβολές είχε
Plz subscribe to my channel and I will subscribe back xx,1,Παρακαλώ εγγραφείτε στο κανάλι μου και θα εγγραφώ ξανά xx
i check back often to help reach 2x10 9 views and I avoid watching Baby,0,Επιστρέφω συχνά για να φτάσω τις 2x10 9 προβολές και αποφεύγω να παρακολουθώ το Baby
This video will get to 2 billion just because of people checking if it has hit 2 billion yet.,0,Αυτό το βίντεο θα φτάσει τα 2 δισεκατομμύρια μόνο και μόνο επειδή οι άνθρωποι ελέγχουν αν έχει φτάσει ακόμη τα 2 δισεκατομμύρια.
Link Like this facebook page Chance to win an Iphone 5S,1,Σύνδεσμος Μου αρέσει αυτή η σελίδα στο facebook Ευκαιρία να κερδίσετε ένα Iphone 5S
get GWAR to play 2015 superbowl Link,1,πάρτε το GWAR για να παίξετε το 2015 Superbowl Link
Pls follow this channel Link,1,Παρακαλούμε ακολουθήστε αυτόν τον σύνδεσμο καναλιού
hi guys check my youtube channel,1,γεια σας παιδιά δείτε το κανάλι μου στο youtube
Subscribe and like to me for more how to videos on minecraft,1,Εγγραφείτε και κάντε μου like για περισσότερα βίντεο σχετικά με το minecraft
Link great game check it out,1,Σύνδεσμος υπέροχο παιχνίδι δείτε το
Subscribe ME,1,Εγγραφείτε ΕΓΩ
I Am just to check how much views it has,0,Είμαι απλώς για να ελέγξω πόσες προβολές έχει
The first comment is chuck norrus ovbiously D,0,Το πρώτο σχόλιο είναι ο Τσακ Νόρις προφανώς ο D
Behold the most viewed youtube video in the history of ever,0,Δείτε το βίντεο με τις περισσότερες προβολές στο YouTube στην ιστορία όλων των εποχών
when is this going to hit 2 billion,0,πότε αυτό θα φτάσει τα 2 δισεκατομμύρια
the most viewed youtube video of all time,0,το βίντεο με τις περισσότερες προβολές όλων των εποχών στο youtube
"969,210 dislikes like dislike themselves",0,969.210 αντιπαθούν όπως αντιπαθούν τον εαυτό τους
psy korean,0,ψυ κορεατικα
OMG this oldspice spraytan party commercial omg....i am sitting here NO this is not a real thing is it OMG,0,OMG αυτό το παλιό σπρέι μπαχαρικών σπρέι μαυρίσματος διαφημιστικό πάρτι omg...κάθομαι εδώ ΟΧΙ αυτό δεν είναι πραγματικό πράγμα είναι OMG
"This is the only video on youtube that get so much views just because we want to see how much views it has. 1.000.000 every day, I mean, Most people think a video is popular when it actually gets 1.000.000 views.",0,"Αυτό είναι το μόνο βίντεο στο youtube που έχει τόσες προβολές μόνο και μόνο επειδή θέλουμε να δούμε πόσες προβολές έχει. 1.000.000 κάθε μέρα, εννοώ, οι περισσότεροι άνθρωποι πιστεύουν ότι ένα βίντεο είναι δημοφιλές όταν λαμβάνει πραγματικά 1.000.000 προβολές."
It is been back for quite a while now.,0,Έχει επιστρέψει εδώ και αρκετό καιρό.
2 Billions in 2014,0,2 δισεκατομμύρια το 2014
plz check out fablife welcome to fablife for diys and challenges so plz subscribe thanks,1,"Ρίξτε μια ματιά στο fablife, καλώς ήλθατε στο fablife για μαστορέματα και προκλήσεις, γι' αυτό εγγραφείτε, ευχαριστώ"
Sub my channel,1,Subscribe στο κανάλι μου
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with his drone that are absolutely beautiful.",1,"αν σας αρέσουν τα drones, παρακαλώ εγγραφείτε στο Kamal Tayara. Τραβάει βίντεο με το drone του που είναι απολύτως όμορφα."
"WHAT IS UP EVERYONE I Trying To Showcase My Talent To The World I Have Over 3000 SUBSCRIBERS I PROMISE I Do Not Suck Please Spread My Covers Around, SUBSCRIBE amp Share Thanks so much for all your support Lucas Trigo Stay Awesome",1,"ΤΙ ΣΥΜΒΑΙΝΕΙ ΟΛΟΙ ΠΟΥ Προσπαθώ να δείξω το ταλέντο μου στον κόσμο που έχω Πάνω από 3000 ΣΥΝΔΡΟΜΕΙΣ ΥΠΟΣΧΟΜΑΣΤΕ ότι δεν ρουφάω Παρακαλώ Διαδώστε τα εξώφυλλά μου, ΕΓΓΡΑΦΗ amp Share Ευχαριστώ πολύ για όλη την υποστήριξή σας Lucas Trigo Stay Awesome"
gt gt gt gt Link lt,1,gt gt gt gt Σύνδεσμος lt
"Hi there I am group leader of Angel, a rookie Korean pop group. We have four members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to check out our channel and leave some feedback on our cover videos criticism is welcome as we know we are not top notch singers so please come leave some constructive feedback on our videos we appreciate any chance to improve before auditioning for a Korean management company. We plan on auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time out of your day to read this",1,"Γεια σας, είμαι αρχηγός του γκρουπ του Angel, ενός πρωτάρη κορεάτικου ποπ συγκροτήματος. Έχουμε τέσσερα μέλη, την Chanicka, την Julie, τη Stephanie και εμένα, τη Leah. Μη διστάσετε να ελέγξετε το κανάλι μας και να αφήσετε μερικά σχόλια για τα εξώφυλλά μας. Η κριτική είναι ευπρόσδεκτη καθώς γνωρίζουμε ότι δεν είμαστε κορυφαίοι τραγουδιστές, γι' αυτό ελάτε να αφήσετε μερικά εποικοδομητικά σχόλια για τα βίντεό μας, εκτιμούμε κάθε ευκαιρία να βελτιωθούμε πριν από την οντισιόν για μια κορεάτικη διαχείριση Εταιρία. Σχεδιάζουμε να κάνουμε οντισιόν για JYP, BigHit, Jellyfish, YG ή SM. Σας ευχαριστούμε που αφιερώσατε χρόνο από τη μέρα σας για να το διαβάσετε"
Link FREE CS GO,1,Σύνδεσμος ΔΩΡΕΑΝ CS GO
Admit it you just came here to check the number of viewers,0,Παραδεχτείτε ότι μόλις ήρθατε εδώ για να ελέγξετε τον αριθμό των θεατών
"Just coming to check if people are still viewing this video. And apparently, they still do.",0,"Απλώς έρχομαι για να ελέγξω αν οι άνθρωποι εξακολουθούν να βλέπουν αυτό το βίντεο. Και όπως φαίνεται, εξακολουθούν να το κάνουν."
Check my first video out,1,Δείτε το πρώτο μου βίντεο
Check my channel,1,Ελέγξτε το κανάλι μου
PSY GANGNAM STYLE M V Link,0,PSY GANGNAM STYLE M V Σύνδεσμος
Suscribe My Channel Please XD lol,1,Εγγραφείτε στο κανάλι μου XD lol
Wow. Comments section on this still active. Not bad. Also 5277478 comments. Now 79,0,Ουάου. Η ενότητα σχολίων για αυτό είναι ακόμα ενεργή. Δεν είναι κακό. Επίσης 5277478 σχόλια. Τώρα 79
Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.,0,Ching Ching ling μακρύ δαχτυλίδι ding yaaaaaa Ganga sty ΓΑΜΑ ΣΕ.
Link please halp me with my project,1,"Σύνδεσμος, βοηθήστε με με το έργο μου"
There is one video on my channel about my brother...,1,Υπάρχει ένα βίντεο στο κανάλι μου για τον αδερφό μου...
"Check my channel, please",1,"Ελέγξτε το κανάλι μου, παρακαλώ"
"Does anyone here use gift cards like Amazon, itunes, psn, google play, itunes, or any other gift cards Then you will be happy to know you can get free gift card codes for free from an amazing site. Here is a 50 itunes gift card code XXBB5TCZHM39HVZD",1,"Χρησιμοποιεί κανείς εδώ δωροκάρτες όπως Amazon, itunes, psn, google play, itunes ή άλλες δωροκάρτες. Τότε θα χαρείτε να μάθετε ότι μπορείτε να λάβετε δωρεάν κωδικούς δωροκάρτας από έναν καταπληκτικό ιστότοπο. Εδώ είναι ένας κωδικός δωροκάρτας iTunes 50 XXBB5TCZHM39HVZD"
Why does this video have so many views Because asian things are awesome and non asian countries are jelly so they try to learn from asia by looking at this video d,0,"Γιατί αυτό το βίντεο έχει τόσες πολλές προβολές Επειδή τα ασιατικά πράγματα είναι φοβερά και οι μη ασιατικές χώρες είναι ζελέ, οπότε προσπαθούν να μάθουν από την Ασία κοιτάζοντας αυτό το βίντεο d"
Plizz withing my channel,1,Plizz με το κανάλι μου
I made a gaming channel Unique right L Angry Minecraft,1,Έφτιαξα ένα κανάλι gaming Unique right L Angry Minecraft
Please help me go here Link,1,Παρακαλώ βοηθήστε με να πάω εδώ Σύνδεσμος
Anybody who subscribes to me will get 10 subscribers,1,Όποιος εγγραφεί σε εμένα θα έχει 10 συνδρομητές
"My videos are half way decent, check them out if you want.",1,"Τα βίντεό μου είναι κατά το ήμισυ αξιοπρεπή, δείτε τα αν θέλετε."
"they said this video are not deserve 2billion views , while they keep visiting it to watch the viewer .",0,"Είπαν ότι αυτό το βίντεο δεν αξίζουν 2 δισεκατομμύρια προβολές, ενώ συνεχίζουν να το επισκέπτονται για να παρακολουθήσουν τον θεατή."
subscribe to itz recaps and above diddle,1,εγγραφείτε στο itz recaps και πάνω diddle
Screw this Chinese crap i do not even understand what he is saying. Why is not he speaking English like everyone should,0,"Βιδώστε αυτό το κινέζικο χάλι, δεν καταλαβαίνω καν τι λέει. Γιατί δεν μιλάει αγγλικά όπως θα έπρεπε όλοι"
need money Enjoy Link,1,χρειάζεσαι χρήματα Απολαύστε τον σύνδεσμο
Sub to my channel visuelgamingzNL I sub back,1,Εγγραφείτε στο κανάλι μου visuelgamingzNL Επιστρέφω
please subscribe i am a new youtuber and need help please subscribe and i will subscribe back D hoppa HOPPA GaNgAm StYlE,1,"εγγραφείτε, είμαι νέος youtuber και χρειάζομαι βοήθεια, παρακαλώ εγγραφείτε και θα εγγραφώ πίσω D hoppa HOPPA GaNgAm StYlE"
sub me if you do not like the song,1,υπογράψτε μου αν δεν σας αρέσει το τραγούδι
This is a weird video.,0,Αυτό είναι ένα περίεργο βίντεο.
8 million likes xD even the subscribers not 8 million xD,0,8 εκατομμύρια likes xD ακόμα και οι συνδρομητές όχι 8 εκατομμύρια xD
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL I AM A NEW YOUTUBER AND I PLAY MINECRAFT THANKS GUYS ... SUBSCRIBE,1,EHI ΠΑΙΔΙΑ ΜΠΟΡΕΙΤΕ ΝΑ ΚΑΝΕΤΕ ΕΓΓΡΑΦΗ ΣΤΟ ΚΑΝΑΛΙ ΜΟΥ ΕΙΜΑΙ ΝΕΟΣ YOUTUBER ΚΑΙ ΠΑΙΖΩ MINECRAFT ΕΥΧΑΡΙΣΤΩ ΠΑΙΔΙΑ ... ΕΓΓΡΑΦΗ
Hi everyone Do you like music Then why not check out my music channel. The LEXIS band will be uploading their own songs and covers soon so do not miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one click. gt,1,"Γεια σε όλους Σας αρέσει η μουσική Τότε γιατί να μην δείτε το μουσικό μου κανάλι. Το συγκρότημα LEXIS θα ανεβάσει σύντομα τα δικά του τραγούδια και διασκευές, οπότε μην το χάσετε. ΕΓΓΡΑΦΕΙΤΕ και εσείς γιατί μας βοηθάει πολύ. Αρκεί ένα κλικ. gt"
This song never gets old love it.,0,Αυτό το τραγούδι δεν παλιώνει ποτέ μου αρέσει.
gofundme.com grwmps,1,gofundme.com grwmps
"Hey guys please check out my new Google page it has many funny pictures, FunnyTortsPics Link",1,"Γεια σας παιδιά, ρίξτε μια ματιά στη νέα μου σελίδα στο Google, έχει πολλές αστείες εικόνες, FunnyTortsPics Link"
2012bitches,0,2012 σκύλες
Made in china....,0,Κατασκευασμένο στην Κίνα....
5 milions comentars and 2 bilion views,0,5 εκατομμύρια σχόλια και 2 δισεκατομμύρια προβολές
It is 0 zero,0,Είναι 0 μηδέν
Mix PSY GANGNAM STYLE M V PSY GANGNAM STYLE M V,0,Mix PSY GANGNAM STYLE M V PSY GANGNAM STYLE M V
This has had over 2 billion views. Holy shit.,0,Αυτό είχε πάνω από 2 δισεκατομμύρια προβολές. Γαμώτο.
"how can there be 2.124.821.694 views, when i am the only person alive after the zombie apocalypse greetings, spoderman",0,"πώς μπορεί να υπάρχουν 2.124.821.694 προβολές, όταν είμαι ο μόνος ζωντανός μετά τους χαιρετισμούς της αποκάλυψης των ζόμπι, spoderman"
Suscribe my channel please,1,Εγγραφείτε στο κανάλι μου παρακαλώ
"2,124923004 wiews... wow",0,"2,124923004 wiews... ουάου"
guys please subscribe me to help my channel grow please guys,1,"παιδιά, εγγραφείτε με για να βοηθήσω το κανάλι μου να αναπτυχθεί, παρακαλώ παιδιά"
Great music anyway,0,Υπέροχη μουσική πάντως
"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its asia",0,"τόσο τρελό, πάνω από 2 δισεκατομμύρια προβολές, όχι ΗΠΑ, όχι το Ηνωμένο Βασίλειο, η δημοκρατία της Κορέας, η Ασία"
Discover a beautiful song of A young Moroccan Link,1,Ανακαλύψτε ένα όμορφο τραγούδι του A young Moroccan Link
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet At Juno Wallet you can earn money for gift cards such as Nike, Gamestop, Amazon , Ebay Etc amp its easy Earn money by doing simple task like watching videos..downloading apps amp you can even earn money by inviting your friends to join...its free for signup Sign up today amp use promo code BD3721315",1,"Σαν να παίρνετε δωροκάρτες.. αλλά μισείτε να ξοδεύετε μετρητά... Δοκιμάστε το Juno Wallet Στο Juno Wallet μπορείτε να κερδίσετε χρήματα για δωροκάρτες όπως Nike, Gamestop, Amazon, Ebay κ.λπ. ..κατεβάζοντας εφαρμογές ενισχυτή μπορείτε ακόμη και να κερδίσετε χρήματα προσκαλώντας τους φίλους σας να συμμετάσχουν...είναι δωρεάν για εγγραφή Εγγραφείτε σήμερα ενισχυτή χρησιμοποιήστε τον κωδικό προσφοράς BD3721315"
Can somebody wake me up when we get to 3 billion views.,0,Μπορεί κάποιος να με ξυπνήσει όταν φτάσουμε στις 3 δισεκατομμύρια προβολές.
PSY GOT LOTS OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS IS THE MOST VIEWS IN THE WORLD D,0,Ο PSY ΠΗΡΕ ΠΟΛΛΑ ΛΕΦΤΑ ΑΠΟ ΤΟ YOUTUBE ΠΟΥ ΠΗΡΕ ΑΠΟ 2 ΔΙΣ
Justin bieber gay,0,Τζάστιν Μπίμπερ γκέι
You got to say its funny. well not 2 billion worth funny but still. It clicked and everything went uphill. At least you do not have JB's shit on 1.,0,Πρέπει να πεις ότι είναι αστείο. καλά δεν αξίζει 2 δισεκατομμύρια αστεία αλλά ακόμα. Έκανε κλικ και όλα ανηφόρισαν. Τουλάχιστον δεν έχεις τα σκατά του JB στο 1.
"Ahhh, 2 years ago....",0,Αχχ πριν 2 χρόνια....
"Dance dance,,,,,Psy Link",1,"Χορευτικό,,,,,Psy Link"
check out starlitnightsky channel to see epic videos,1,ρίξτε μια ματιά στο κανάλι starlitnightsky για να δείτε επικά βίντεο
Link plz,1,Σύνδεσμος plz
Stupid people... this video does not have 2 billion visits. Have 2 thousands millions,0,Ηλίθιοι... αυτό το βίντεο δεν έχει 2 δισεκατομμύρια επισκέψεις. Έχετε 2 χιλιάδες εκατομμύρια
check men out i put allot of effort into my music but unfortunatly not many watch it,1,"check men έξω Καταβάλλω μεγάλη προσπάθεια στη μουσική μου, αλλά δυστυχώς δεν την παρακολουθούν πολλοί"
pls Link help me get vip gun cross fire al,1,pls Link βοηθήστε με να λάβω διασταυρούμενα πυρά vip
Add me here...Link,1,Προσθέστε με εδώ...Σύνδεσμος
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS,1,ΔΕΙΤΕ ΤΟ ΚΑΝΑΛΙ ΜΟΥ ΠΑΡΑΚΑΛΩ. ΚΑΝΩ ΤΡΑΓΟΥΔΙΑ ΣΠΟΥΔΕΣ
I think this is now a place to promote channels in the comment section lol.,0,Νομίζω ότι αυτό είναι πλέον ένα μέρος για την προώθηση καναλιών στην ενότητα σχολίων lol.
Get free gift cards and pay pal money,1,Αποκτήστε δωρεάν δωροκάρτες και χρήματα paypal
Check out pivot animations in my channel,1,Δείτε τα κινούμενα σχέδια στο κανάλι μου
Follow me on twitter amp IG killuminati94,1,Ακολουθήστε με στο twitter amp IG killuminati94
Check me out I am all about gaming,1,Ρίξτε μια ματιά στο ότι ασχολούμαι με τα παιχνίδια
Oppa Yeah Best Song,0,Oppa Yeah το καλύτερο τραγούδι
More... Link,1,Περισσότερα... Σύνδεσμος
reminds me of this song Link,1,μου θυμίζει αυτό το τραγούδι Link
What free gift cards Go here Link,1,Τι δωρεάν δωροκάρτες Μεταβείτε εδώ Σύνδεσμος
Search Chubbz Dinero Ready Or Not Thanks,1,Αναζήτηση Chubbz Dinero Ready or Not Thanks
Follow me on Twitter mscalifornia95,1,Ακολουθήστε με στο Twitter mscalifornia95
every single types of face on earth,0,κάθε τύπος προσώπου στη γη
Y,0,Υ
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC' YOU WILL LOVE IT,1,ΔΕΙΤΕ ΤΟ ΚΑΝΑΛΙ ΜΟΥ ΓΙΑ ΤΟ ΝΕΟ ΜΟΥ ΤΡΑΓΟΥΔΙ 'STATIC' ΘΑ ΤΟ ΛΑΤΡΕΥΕΙ
Incmedia.org where the truth meets you.,1,Το Incmedia.org όπου σε συναντά η αλήθεια.
look at my channel i make minecraft pe let us play,1,κοιτάξτε το κανάλι μου φτιάχνω το minecraft ας παίξουμε
I found out this song now,0,Τώρα το έμαθα αυτό το τραγούδι
2 BILLION,0,2 ΔΙΣ
Song name,0,ΟΝΟΜΑ ΤΡΑΓΟΥΔΙΟΥ
please like Link,1,παρακαλώ like Link
hey again if you guys would not mind chacking out my rap give it like and il giver 3 of your vids a like,1,"γεια και πάλι, αν δεν θα σας πείραζε να δείτε το ραπ μου κάντε του like και θα δώσω ένα like σε 3 από τα βίντεό σας"
"The most watched video on YouTube is Psy s Gangnam Style , with 2.1 billion views. PSY GANGNAM STYLE M V",0,"Το βίντεο με τις περισσότερες προβολές στο YouTube είναι το Psy s Gangnam Style, με 2,1 δισεκατομμύρια προβολές. PSY GANGNAM STYLE M V"
Subscribe to me and I will subscribe back,1,Εγγραφείτε σε εμένα και θα εγγραφώ ξανά
For Christmas Song visit my channel,1,Για Χριστουγεννιάτικο Τραγούδι επισκεφτείτε το κανάλι μου
