Category,Message,gtrans_el
0,Did you catch the bus Are you frying an egg Did you make a tea Are you eating your mom's left over dinner Do you feel my Love,Πήρες το λεωφορείο Τηγανίζεις ένα αυγό Έκανες ένα τσάι Τρως το φαγητό της μαμάς σου Νιώθεις αγάπη μου
0,"I'm back amp we're packing the car now, I'll let you know if there's room","Είμαι πίσω ενισχυτής, ετοιμάζουμε το αυτοκίνητο τώρα, θα σας ενημερώσω αν υπάρχει χώρος"
0,Ahhh. Work. I vaguely remember that What does it feel like Lol,Αααα. Δουλειά. Θυμάμαι αμυδρά ότι με τι αισθάνεται Lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Περίμενε ότι δεν είναι ακόμα τόσο ξεκάθαρο, δεν ήσουν σίγουρος ότι είμαι σαρκαστικός ή γι' αυτό ο x δεν θέλει να ζήσει μαζί μας"
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2 But we won't go there Not doing too badly cheers. You,"Ναι, μπήκε στις 2 και απολογήθηκε. Το n είχε πέσει έξω και ήταν σαν κακομαθημένο παιδί και εκείνος τον έπιασε αυτό. Μέχρι τις 2, αλλά δεν θα πάμε εκεί. Εσείς"
0,K tell me anything about you.,Κ πες μου οτιδήποτε για σένα.
0,For fear of fainting with the of all that housework you just did Quick have a cuppa,Από φόβο μήπως λιποθυμήσεις με όλες αυτές τις δουλειές του σπιτιού που μόλις έκανες Γρήγορη πιες μια κούπα
1,Thanks for your subscription to Ringtone UK your mobile will be charged 5 month Please confirm by replying YES or NO. If you reply NO you will not be charged,Ευχαριστούμε για τη συνδρομή σας στο Ringtone UK το κινητό σας θα χρεωθεί 5 μήνες. Επιβεβαιώστε απαντώντας ΝΑΙ ή ΟΧΙ. Εάν απαντήσετε ΟΧΙ δεν θα χρεωθείτε
0,Yup... Ok i go home look at the timings then i msg again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Ναι... Εντάξει, πάω σπίτι κοιτάξτε τους χρόνους και μετά στέλνω ξανά μήνυμα... Η Xuhui θα μάθει επίσης στις 2 Μαΐου, αλλά το μάθημά της είναι στις 8 π.μ."
0,"Oops, I'll let you know when my roommate's done","Ωχ, θα σε ενημερώσω όταν τελειώσει ο συγκάτοικός μου"
0,I see the letter B on my car,Βλέπω το γράμμα Β στο αυτοκίνητό μου
0,Anything lor... U decide...,"Οτιδήποτε, εσύ αποφασίζεις..."
0,Hello How's you and how did saturday go I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything,"Γεια, πώς είσαι και πώς πήγε το Σάββατο. Απλώς έστειλα μήνυμα για να δω αν είχες αποφασίσει να κάνεις κάτι. Όχι ότι προσπαθώ να προσκαλέσω τον εαυτό μου ή κάτι άλλο"
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Παρακαλώ προχωρήστε με τα watt. Ήθελα απλώς να είμαι σίγουρος. Να έχετε ένα υπέροχο Σαββατοκύριακο. Abiola
0,"Did I forget to tell you I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Ξέχασα να σου πω σε θέλω, σε χρειάζομαι, σε λαχταρώ... Αλλά πάνω από όλα... Σ' αγαπώ γλυκό μου αραβικό άλογο... Μμμμμμ... Νόστιμο"
1,07732584351 Rodger Burns MSG We tried to call you re your reply to our sms for a free nokia mobile free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 Rodger Burns MSG Προσπαθήσαμε να σας καλέσουμε για να απαντήσετε στα sms μας για μια δωρεάν φορητή βιντεοκάμερα nokia. Καλέστε τώρα στο 08000930705 για παράδοση αύριο
0,WHO ARE YOU SEEING,ΠΟΙΟΝ ΒΛΕΠΕΙΣ
0,Great I hope you like your man well endowed. I am lt gt inches...,"Τέλεια, ελπίζω να σου αρέσει ο άνθρωπός σου καλά προικισμένος. Είμαι ίντσες..."
0,No calls..messages..missed calls,Χωρίς κλήσεις..μηνύματα..αναπάντητες κλήσεις
0,Didn't you get hep b immunisation in nigeria.,Δεν κάνατε εμβόλιο κατά του hep b στη Νιγηρία;
0,"Fair enough, anything going on","Αρκετά δίκαιο, οτιδήποτε συμβαίνει"
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Ναι, ελπίζω, αν ο Τάιλερ δεν μπορεί να το κάνει, θα μπορούσα να ρωτήσω λίγο"
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Δεν ξέρεις πόσο πεισματάρης είμαι. Δεν ήθελα καν να πάω στο νοσοκομείο. Έλεγα συνέχεια στον Mark ότι δεν είμαι αδύναμο κορόιδο. Τα νοσοκομεία είναι για αδύναμα κορόιδα.
0,What you thinked about me. First time you saw me in class.,Τι πιστεύεις για εμένα. Πρώτη φορά με είδες στην τάξη.
0,"A gram usually runs like lt gt , a half eighth is smarter though and gets you almost a whole second gram for lt gt","Ένα γραμμάριο συνήθως τρέχει σαν lt gt, το μισό όγδοο είναι πιο έξυπνο όμως και σας παίρνει σχεδόν ένα ολόκληρο δευτερόλεπτο γραμμάριο για lt gt"
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"Ο K fyi x έχει μια βόλτα νωρίς αύριο το πρωί, αλλά τρακάρει στο χώρο μας απόψε"
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about the cave . I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Ουάου. Ποτέ δεν κατάλαβα ότι ντρεπόσουν τόσο πολύ με τα καταλύματα σου. Νόμιζα ότι σου άρεσε, αφού έκανα ό,τι καλύτερο μπορούσα και φαίνεσαι πάντα τόσο χαρούμενος για τη σπηλιά. Λυπάμαι που δεν έκανα και δεν έχω περισσότερα να δώσω. Λυπάμαι που πρότεινα. Λυπάμαι που το δωμάτιό σου ήταν τόσο ενοχλητικό."
1,SMS. ac Sptv The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect End Reply END SPTV,ΓΡΑΠΤΟ ΜΗΝΥΜΑ. ac Sptv Οι New Jersey Devils και οι Detroit Red Wings παίζουν χόκεϊ επί πάγου. Σωστή ή Λανθασμένη Τελική Απάντηση ΤΕΛΟΣ SPTV
0,Do you know what Mallika Sherawat did yesterday Find out now lt URL gt,Ξέρετε τι έκανε χθες η Mallika Sherawat Μάθετε τώρα lt URL gt
1,"Congrats 1 year special cinema pass for 2 is yours. call 09061209465 now C Suprman V, Matrix3, StarWars3, etc all 4 FREE bx420 ip4 5we. 150pm. Dont miss out","Συγχαρητήρια 1 έτος ειδική κάρτα κινηματογράφου για 2 είναι δική σας. καλέστε στο 09061209465 τώρα C Superman V, Matrix 3, Star Wars 3, κλπ και τα 4 ΔΩΡΕΑΝ bx420 ip4 5we. 150 μ.μ. Μην χάσετε"
0,"Sorry, I'll call later in meeting.","Συγγνώμη, θα τηλεφωνήσω αργότερα στη συνάντηση."
0,Tell where you reached,Πες πού έφτασες
0,Yes..gauti and sehwag out of odi series.,Ναι..gauti και sehwag out of odi series.
0,Your gonna have to pick up a 1 burger for yourself on your way home. I can't even move. Pain is killing me.,Θα πρέπει να πάρετε ένα μπιφτέκι για τον εαυτό σας στο δρόμο για το σπίτι. Δεν μπορώ καν να κουνηθώ. Ο πόνος με σκοτώνει.
0,Ha ha ha good joke. Girls are situation seekers.,Χα χα χα καλό αστείο. Τα κορίτσια αναζητούν καταστάσεις.
0,Its a part of checking IQ,Είναι μέρος του ελέγχου του IQ
0,"Sorry my roommates took forever, it ok if I come by now","Συγγνώμη που οι συγκάτοικοί μου πήραν για πάντα, εντάξει αν έρθω μέχρι τώρα"
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar i διπλό έλεγχο wif da κομμωτήριο ήδη είπε wun cut v short. Είπε θα κόψει μέχρι να φανώ ωραία.
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a 1500 Bonus Prize, call 09066364589","Ως πολύτιμος πελάτης, είμαι στην ευχάριστη θέση να σας ενημερώσω ότι μετά από πρόσφατη αναθεώρηση του αριθμού Mob σας, βραβεύεστε με ένα βραβείο μπόνους 1500, καλέστε στο 09066364589"
0,Today is song dedicated day.. Which song will u dedicate for me Send this to all ur valuable frnds but first rply me...,Σήμερα είναι ημέρα αφιερωμένη στο τραγούδι.. Ποιο τραγούδι θα μου αφιερώσεις Στείλε το σε όλους τους πολύτιμους φίλους σου αλλά πρώτα απάντησε μου...
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco Entry41 Or 1000. To claim txt DIS to 87121 18 6 1.50 moreFrmMob. ShrAcomOrSglSuplt 10, LS1 3AJ","Το Urgent UR απένειμε ένα δωρεάν ταξίδι στο EuroDisinc Trav, Aco Entry41 Or 1000. Για αξίωση txt DIS στο 87121 18 6 1,50 moreFrmMob. ShrAcomOrSglSuplt 10, LS1 3AJ"
1,Did you hear about the new Divorce Barbie It comes with all of Ken's stuff,Έχετε ακούσει για το νέο Divorce Barbie It συνοδεύεται από όλα τα πράγματα του Ken;
0,I plane to give on this month end.,Σκοπεύω να δώσω στο τέλος αυτού του μήνα.
0,Wah lucky man... Then can save money... Hee...,Ουάχ τυχερός... Τότε μπορείς να εξοικονομήσεις χρήματα... Εεε...
0,Finished class where are you.,Τελείωσε το μάθημα που είσαι.
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING XX,ΓΕΙΑ ΜΩΡΑ ΕΙΜΑΙ ΣΤΟ ΣΠΙΤΙ ΤΩΡΑ ΘΕΛΩ ΝΑ ΚΑΝΩ ΚΑΤΙ XX
0,K..k where are you how did you performed,Κ..κ που είσαι πως έκανες
0,U can call me now...,Μπορείτε να με καλέσετε τώρα...
0,I am waiting machan. Call me once you free.,Περιμένω ματσάν. Τηλεφώνησέ με μόλις ελευθερωθείς.
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,Αυτό είναι ωραίο. Είμαι κύριος και θα σας συμπεριφέρομαι με αξιοπρέπεια και σεβασμό.
0,I like you peoples very much but am very shy pa.,"Μου αρέσετε πολύ, αλλά είμαι πολύ ντροπαλός."
0,Does not operate after lt gt or what,Δεν λειτουργεί μετά από lt gt ή τι άλλο
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,Δεν είναι το ίδιο εδώ. Ακόμα ψάχνει για δουλειά. Πόσα κερδίζει ο Τας εκεί.
0,"Sorry, I'll call later","Συγγνώμη, θα τηλεφωνήσω αργότερα"
0,K. Did you call me just now ah,Κ. Με κάλεσες μόλις τώρα αχ
0,Ok i am on the way to home hi hi,Εντάξει είμαι στο δρόμο για το σπίτι γεια γεια
0,You will be in the place of that man,Θα είσαι στη θέση αυτού του ανθρώπου
0,Yup next stop.,Ναι η επόμενη στάση.
0,"I call you later, don't have network. If urgnt, sms me.","Σας καλώ αργότερα, δεν έχω δίκτυο. Αν είναι επείγον, στείλτε μου sms."
0,For real when u getting on yo I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,"Στην πραγματικότητα, όταν ανεβείτε, χρειάζομαι μόνο 2 ακόμη εισιτήρια και ένα ακόμη σακάκι και τελείωσα. Έχω ήδη χρησιμοποιήσει όλα τα multi μου."
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Ναι, άρχισα να στέλνω αιτήματα για να το φτιάξω, αλλά ο πόνος επανήλθε, οπότε είμαι πίσω στο κρεβάτι. Διπλά νομίσματα και στο εργοστάσιο. Πρέπει να μετρήσω όλα τα νίτρο μου."
0,I'm really not up to it still tonight babe,Πραγματικά δεν είμαι έτοιμος ακόμα απόψε μωρό μου
0,"Ela kano.,il download, come wen ur free..","Ela kano., il download, έλα όταν είσαι ελεύθερος.."
0,Yeah do Don t stand to close tho you ll catch something,"Ναι, μην στέκεσαι να κλείσεις για να πιάσεις κάτι"
0,Sorry to be a pain. Is it ok if we meet another night I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,Συγγνώμη που πονάω. Είναι εντάξει αν βρεθούμε άλλο ένα βράδυ που πέρασα αργά το απόγευμα σε τραυματία και αυτό σημαίνει ότι δεν έχω κάνει τίποτα από τα πράγματα42moro και αυτό περιλαμβάνει όλα τα φύλλα του χρόνου μου και αυτό. Συγνώμη.
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling,Χαμόγελο στην ευχαρίστηση Χαμογελάστε στον πόνο Χαμογελάστε όταν τα προβλήματα πέφτουν σαν τη βροχή Χαμογελάστε όταν άθροισμα
1,Please call our customer service representative on 0800 169 6031 between 10am 9pm as you have WON a guaranteed 1000 cash or 5000 prize,"Παρακαλούμε καλέστε τον αντιπρόσωπο εξυπηρέτησης πελατών στο 0800 169 6031 μεταξύ 10 π.μ. 9 μ.μ., καθώς έχετε ΚΕΡΔΙΣΕΙ ένα εγγυημένο έπαθλο 1000 μετρητών ή 5000"
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already,Ο Havant σχεδιάζει να αγοράσει αργότερα. Ελέγχω ήδη το lido πήρε μόνο 530 εμφάνιση το απόγευμα. Τελειώσατε ήδη τη δουλειά
1,"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Ο δωρεάν ήχος κλήσης σας περιμένει να συλλεχθεί. Απλώς στείλτε τον κωδικό πρόσβασης MIX στο 85069 για επαλήθευση. Πάρτε τον Usher και την Britney. FML, PO Box 5249, MK17 92H. 450 Ppw 16"
0,Watching telugu movie..wat abt u,Παρακολούθηση ταινίας στα Τελούγκου.
0,i see. When we finish we have loads of loans to pay,"βλέπω. Όταν τελειώσουμε, έχουμε πολλά δάνεια να πληρώσουμε"
0,Hi. Wk been ok on hols now Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u,"Γεια. Wk ήταν εντάξει στο hols τώρα Ναι για λίγο τρέξιμο. Ξέχασα ότι έχω ραντεβού κομμωτηρίου στις τέσσερις, οπότε πρέπει να πάω σπίτι και να κάνω ντους εκ των προτέρων. Μήπως αυτό σας προκαλεί πρόβλημα;"
0,I see a cup of coffee animation,Βλέπω κινούμενα σχέδια για ένα φλιτζάνι καφέ
0,Please don't text me anymore. I have nothing else to say.,Σε παρακαλώ μη μου στέλνεις άλλο μήνυμα. Δεν έχω κάτι άλλο να πω.
0,Okay name ur price as long as its legal Wen can I pick them up Y u ave x ams xx,Εντάξει ονομάστε την τιμή σας εφόσον είναι νόμιμη Wen μπορώ να τα παραλάβω Y u ave x ams xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Ακόμα ψάχνω αυτοκίνητο για αγορά. Και δεν έχω κάνει ακόμα 4 εξετάσεις οδήγησης.
0,"wow. You're right I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Ουάου. Έχεις δίκιο δεν ήθελα να το κάνω. Υποθέτω ότι μόλις εγκατέλειψα τους άνδρες της Βοστώνης και άλλαξα την τοποθεσία αναζήτησής μου σε NY, κάτι άλλαξε. Επειδή στη σελίδα εισόδου μου λέει ακόμα boston."
0,Umma my life and vava umma love you lot dear,Umma ζωή μου και vava umma σε αγαπώ πολύ αγάπη μου
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Ευχαριστώ πολύ για τις ευχές σας για τα γενέθλιά μου. Σας ευχαριστώ που κάνατε τα γενέθλιά μου πραγματικά αξέχαστα.
0,"Aight, I'll hit you up when I get some cash","Εντάξει, θα σε χτυπήσω όταν πάρω μετρητά"
0,How would my ip address test that considering my computer isn't a minecraft server,Πώς θα δοκίμαζε η διεύθυνση IP μου ότι θεωρώντας ότι ο υπολογιστής μου δεν είναι διακομιστής Minecraft
0,I know Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,Ξέρω γκρινιάρηδες ηλικιωμένους. Η μαμά μου ήταν σαν εσένα καλύτερα να μην λες ψέματα. Και πάλι είμαι πάντα αυτός που παίζει αστεία...
0,Dont worry. I guess he's busy.,Μην ανησυχείτε. Υποθέτω ότι είναι απασχολημένος.
0,What is the plural of the noun research,Ποιος είναι ο πληθυντικός του ουσιαστικού έρευνα
0,Going for dinner.msg you after.,Πηγαίνω για δείπνο. σας στέλνω μήνυμα μετά.
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Είμαι εντάξει γιατί μου αρέσει να δοκιμάζω νέα πράγματα. Αλλά σε τρόμαξα σαν μαχ. Γιατί είπες όχι πολύ δυνατά.
1,GENT We are trying to contact you. Last weekends draw shows that you won a 1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT Προσπαθούμε να επικοινωνήσουμε μαζί σας. Η κλήρωση των τελευταίων Σαββατοκύριακων δείχνει ότι κερδίσατε ένα έπαθλο 1000 ΕΓΓΥΗΜΕΝΟ. Καλέστε στο 09064012160. Κωδικός αξίωσης Κ52. Ισχύει μόνο για 12 ώρες. 150 ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened","Wa, η αρχική σου πρόταση είναι πολύ τυπική... Τέλος πάντων, κι εγώ είμαι καλά, τρώω πάρα πολύ και πάρω κιλά... Χαχα... Έγινε κάτι ιδιαίτερο"
0,"As I entered my cabin my PA said, '' Happy B'day Boss ''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Καθώς μπήκα στην καμπίνα μου ο PA μου είπε, '' Happy B'day Boss ''. Ένιωσα ξεχωριστή. Μου ζήτησε 4 μεσημεριανό. Μετά το μεσημεριανό γεύμα με κάλεσε στο διαμέρισμά της. Πήγαμε εκεί."
1,You are a winner U have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910p min 18,Είστε νικητής. Έχετε επιλεγεί ειδικά 2 λάβετε 1000 ή 4 πτήσεις διακοπών συμπεριλαμβανομένων μιλήστε σε έναν ζωντανό χειριστή 2 αξίωση 0871277810910p min 18
0,Goodo Yes we must speak friday egg potato ratio for tortilla needed,Goodo Ναι πρέπει να μιλήσουμε Παρασκευή αναλογία πατάτας αυγών για τορτίγια που χρειάζεται
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Χμ... ο θείος μου μόλις με ενημέρωσε ότι πληρώνει απευθείας το σχολείο. Αγοράστε φαγητό λοιπόν.
1,PRIVATE Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code 45239 Expires,ΙΔΙΩΤΙΚΟ Η κατάσταση λογαριασμού 2004 για το 07742676969 εμφανίζει 786 πόντους μπόνους που δεν έχουν εξαργυρωθεί. Για αξίωση καλέστε 08719180248 Κωδικός αναγνώρισης 45239 Λήγει
1,"URGENT Your Mobile No. was awarded 2000 Bonus Caller Prize on 5 9 03 This is our final try to contact U Call from Landline 09064019788 BOX42WR29C, 150PPM","ΕΠΕΙΓΟΝ Ο αριθμός του κινητού σας απονεμήθηκε 2000 Bonus Caller Prize στο 5 9 03 Αυτή είναι η τελευταία μας προσπάθεια να επικοινωνήσουμε μαζί μας Κλήση U από σταθερό τηλέφωνο 09064019788 BOX42WR29C, 150PPM"
0,here is my new address apples pairs all that malarky,εδώ είναι η νέα μου διεύθυνση apples pears all that malarkey
1,Todays Voda numbers ending 7548 are selected to receive a 350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Οι σημερινοί αριθμοί Voda με κατάληξη 7548 επιλέγονται για να λάβουν βραβείο 350. Εάν έχετε ένα ταίριασμα, καλέστε στο 08712300220 αναφέροντας τον κωδικό αξίωσης 4041 την εφαρμογή τυπικών τιμών"
0,I am going to sao mu today. Will be done only at 12,Θα πάω στο Σάο Μου σήμερα. Θα γίνει μόνο στις 12
0,predict wat time 'll finish buying,προβλέψτε πότε θα τελειώσει η αγορά
0,"Good stuff, will do.","Καλά πράγματα, θα γίνουν."
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Για να ξέρετε, η Yetunde δεν έχει στείλει χρήματα ακόμα. Της έστειλα μήνυμα για να μην μπει στον κόπο να στείλει. Οπότε τελείωσε, δεν χρειάζεται να εμπλακείς σε τίποτα. Δεν έπρεπε να σου επιβάλλω τίποτα εξαρχής, γι' αυτό, ζητώ συγγνώμη."
0,Are you there in room.,Είσαι εκεί στο δωμάτιο.
0,HEY GIRL. HOW R U HOPE U R WELL ME AN DEL R BAK AGAIN LONG TIME NO C GIVE ME A CALL SUM TIME FROM LUCYxx,ΓΕΙΑ ΣΟΥ ΚΟΡΙΤΣΙ. ΠΩΣ ΕΛΠΙΖΕΙΣ ΝΑ ΜΕ ΕΛΠΙΖΕΙΣ ΚΑΙ ΠΑΛΙ ΜΕΓΑΛΗ ΧΡΟΝΗ ΟΧΙ C ΔΩΣΕ ΜΟΥ ΧΡΟΝΟ ΚΑΤΑΣΚΕΥΗΣ ΑΠΟ ΤΗΝ LUCYxx
0,K..k how much does it cost,Κ..κ πόσο κοστίζει
